symbol
AADHARHFC
AARTIIND
AAVAS
ABB
ABCAPITAL
ACC
ADANIENSOL
ADANIENT
ADANIGREEN
ADANIPORTS
ADANIPOWER
AEGISLOG
AFCONS
AFFLE
AMBER
AMBUJACEM
ANANTRAJ
APARINDS
APLAPOLLO
APOLLOHOSP
APTUS
ARE&M
ASTERDM
ATGL
AUBANK
AUROPHARMA
AVL
AXISBANK
BAJAJ-AUTO
BAJAJFINSV
BAJAJHFL
BAJFINANCE
BANDHANBNK
BANKBARODA
BANKINDIA
BEL
BEML
BHARATFORG
BHARTIARTL
BHARTIHEXA
BLUEDART
BLUESTARCO
BOSCHLTD
BPCL
BRIGADE
BRITANNIA
BSE
CAMS
CANBK
CANFINHOME
CDSL
CEIGALL
CELLO
CGPOWER
CHOLAFIN
CIPLA
CLEAN
COFORGE
CONCOR
COROMANDEL
CROMPTON
CROMPTON
CUB
CUMMINSIND
DABUR
DALBHARAT
DEEPAKNTR
DELHIVERY
DIVISLAB
DIXON
DLF
DMART
DRREDDY
EMIL
ENDURANCE
ETERNAL
FEDERALBNK
FINEORG
FORTIS
GAIL
GATEWAY
GESHIP
GICRE
GLENMARK
GODIGIT
GODREJCP
GODREJPROP
GRASIM
GRAVITA
GRSE
GVPIL
GVT&D
HAL
HAVELLS
HBLENGINE
HCLTECH
HDBFS
HDFCAMC
HDFCBANK
HDFCLIFE
HGINFRA
HINDALCO
HINDCOMPOS
HINDCON
HINDCOPPER
HINDPETRO
HINDUNILVR
HINDZINC
HOMEFIRST
HONDAPOWER
HUDCO
HYUNDAI
ICICIAMC
ICICIBANK
ICICIGI
ICICIGI
ICICIPRULI
IDFCFIRSTB
INDHOTEL
INDIANB
INDIASHLTR
INDIGO
INFOBEAN
INFY
IOB
IOC
IRCTC
IRFC
ITC
JIOFIN
JKCEMENT
JLHL
JSL
JSWCEMENT
JSWENERGY
JSWSTEEL
KALYANKJIL
KAPSTON
KARURVYSYA
KAYNES
KEC
KEI
KELLTONTEC
KIMS
KOTAKBANK
KPIGREEN
KPIL
KPITTECH
LAURUSLABS
LGEINDIA
LICHSGFIN
LICI
LLOYDSME
LODHA
LT
LTM
LTTS
LUPIN
M&M
M&MFIN
MAHABANK
MAHLIFE
MAHLOG
MANAPPURAM
MANKIND
MARICO
MARUTI
MAXHEALTH
MAZDOCK
MEDANTA
MEDPLUS
MFSL
MOSCHIP
MOTHERSON
MOTILALOFS
MUTHOOTFIN
NATIONALUM
NAUKRI
NAVINFLUOR
NAZARA
NBCC
NCC
NCLIND
NESTLEIND
NETWEB
NEWGEN
NH
NIACL
NTPC
NUCLEUS
NUVOCO
OBEROIRLTY
OFSS
OIL
OLECTRA
ONGC
PATANJALI
PERSISTENT
PETRONET
PFC
PHOENIXLTD
PIDILITIND
PIIND
PNB
PNBHOUSING
PNGJL
POLYCAB
POONAWALLA
POWERGRID
POWERINDIA
PRESTIGE
PVRINOX
RAILTEL
RAINBOW
RAMCOCEM
RECLTD
RELIANCE
REPCOHOME
RVNL
SBILIFE
SBIN
SENORES
SHREECEM
SHRIRAMFIN
SHYAMMETL
SIEMENS
SIGNATURE
SOLARINDS
SONACOMS
SRF
STARCEMENT
STARHEALTH
SUNDARMFIN
SUNPHARMA
SUZLON
SWIGGY
SYNGENE
TARIL
TATACAP
TATACONSUM
TATAELXSI
TATAPOWER
TATASTEEL
TCI
TCIEXP
TCS
TECHM
THANGAMAYL
TITAN
TMCV
TMPV
TORNTPHARM
TORNTPOWER
TRENT
TVSMOTOR
TVSSCS
UCOBANK
ULTRACEMCO
UNIONBANK
UNOMINDA
V2RETAIL
VBL
VEDL
VGUARD
VINATIORGA
VMART
VOLTAS
VTL
WAAREEENER
WABAG
WABAG
WHIRLPOOL
WIPRO
YATHARTH
ZYDUSLIFE
